date,close,volume,open,high,low
3/2/2018,179.76,18884930,178.01,180.23,175.45
3/1/2018,181.99,17277910,186.18,187.48,180.05
2/28/2018,186.14,19131410,187.25,188.24,185
2/27/2018,188.26,22994700,192.59,193.5667,187.21
2/26/2018,194.19,19444110,194.46,195.15,190.65
2/23/2018,193.29,16926210,190.18,193.405,189.95
2/22/2018,188.75,12269440,190.2,190.74,187.77
2/21/2018,188.82,22048070,189.37,193.17,188.46
2/20/2018,187.19,14842160,183.67,188.83,183
2/16/2018,183.68,16102610,186.75,188.27,183.54
2/15/2018,187.45,14352070,189.25,189.56,184.431
2/14/2018,186.76,21028000,179.22,186.93,178.9002
2/13/2018,179.25,15473030,177.42,182.15,177
2/12/2018,177.44,18256850,180.44,180.79,175.0861
2/9/2018,176.67,28034620,175.12,177.6164,168.88
2/8/2018,173.7,31996320,182.27,183.1,171.39
2/7/2018,180.3,19633580,183.5,186.83,180.3
2/6/2018,185.17,35757700,174.72,185.59,174.17
2/5/2018,180.53,30955960,183.7,190.4699,179.9
2/2/2018,187.31,32188350,194.79,195.68,186.8
2/1/2018,192.22,52506760,192.75,199.49,191.14
1/31/2018,204.29,26668400,202.82,206.2,202.8
1/30/2018,199.66,23343870,198.68,202.54,196.49
1/29/2018,203.01,21882900,204.83,205.69,201.82
1/26/2018,205.22,23707370,200.33,205.23,199.21
1/25/2018,198.33,23264200,196.34,199.59,194.1001
1/24/2018,195.53,34481880,194.71,198.86,192.4
1/23/2018,192.28,31085160,185.28,192.4,183.54
1/22/2018,184.02,15983160,184.975,185.04,181.68
1/19/2018,184.05,13732300,185.15,185.239,182.8
1/18/2018,184.4,14158750,184.28,185.845,182.69
1/17/2018,183.83,21326040,183.3,184.8,179.32
1/16/2018,182.4,27401460,190.4,191.74,181.75
1/12/2018,187.79,11775870,189.91,190.2,187.25
1/11/2018,188.75,12390410,189.73,190.43,188.1
1/10/2018,189.79,17933960,188.1,190.39,186.58
1/9/2018,190.8,19483090,191.13,192.49,188
1/8/2018,190.33,16142360,190.46,191.66,189.07
1/5/2018,190.7,18143940,187.17,190.75,186.301
1/4/2018,185.71,19448620,185.9,187.7472,184.43
1/3/2018,184,20106870,185.19,185.635,181.4
1/2/2018,183.65,29917780,176.399,184.1,175.7
12/29/2017,172.43,9690315,172.28,173.67,171.2
12/28/2017,172.3,9497180,173.04,173.53,171.67
12/27/2017,172.97,10138450,172.29,173.87,171.73
12/26/2017,172.33,12864270,174.55,175.15,171.73
12/22/2017,176.29,12520190,175.84,176.66,175.04
12/21/2017,175.32,14804920,172.8,176.25,172.6508
12/20/2017,172.64,17103480,171.79,172.9,170.8
12/19/2017,171.28,23917700,171.97,173,170.51
12/18/2017,173.37,16996660,174.6,174.7,172.37
12/15/2017,173.55,41334200,172.89,173.55,170
12/14/2017,171.75,32798190,173.11,173.39,169.61
12/13/2017,176.47,18622660,175.19,177.7,174.3
12/12/2017,174.64,22620890,178,178.16,173.77
12/11/2017,179.29,15612400,179.19,180.68,178.15
12/8/2017,177.62,23531130,177.72,178.96,176.37
12/7/2017,174.47,15683080,173.76,175.82,172.26
12/6/2017,172.63,23787250,168.3,173.23,167.8653
12/5/2017,168.96,31587150,165.28,172.96,164.25
12/4/2017,169.58,35867700,177.2,177.58,168.26
12/1/2017,174.61,26767270,175.27,179.8,173.8
11/30/2017,177.08,25806000,179.53,179.8,176.32
11/29/2017,179.91,40167810,185.25,185.41,173.62
11/28/2017,186.69,13321870,188.83,189.1,186.5
11/27/2017,188.03,14939040,190.49,191.4503,187.55
11/24/2017,191.19,9887763,189.39,191.7,188.7
11/22/2017,189.84,14399670,191.54,191.75,189.37
11/21/2017,190.9,19598400,190.35,191.56,188.8
11/20/2017,188,25925840,187.6,190,186.611
11/17/2017,185.13,13415770,185.92,186.5,184.67
11/16/2017,185.43,18376040,183.31,186.27,183.12
11/15/2017,181.48,16524530,179.37,181.88,176.7356
11/14/2017,181.79,14445780,184.3,184.38,181.15
11/13/2017,184.54,17164020,186.77,187.88,184
11/10/2017,186.41,14987690,187.03,187.17,185.4
11/9/2017,185.13,19705730,184.21,185.13,181.05
11/8/2017,185.9,13931400,187.98,188.15,185.1
11/7/2017,188.51,17747070,189.58,189.86,187
